starbucks

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE   TIME
 
    0      40.97906099583216	29.110213592605717          0          0       1236          0   
    1      40.967516067589195	29.086662503242763         10        912        967         90   
    2      40.959997798019515	29.081336340161723         30        825        870         90   
    3      40.974003230004264	29.056271501567718         10         65        146         90   
    4      40.94379084503687	29.11738012753533         10        727        782         90   
    5      40.9341928534301	29.127845358669738         10         15         67         90   
    6      40.98965915843983	29.119941216242307         20        621        702         90   
    7      40.99182393663204	29.085466193310513         20        170        225         90   
    8      40.955014801132876	29.12189179080731         20        255        324         90   
    9      40.97660923134072	29.085490544024317         10        534        605         90   
   10      41.04451019021357	29.002037714143253         10        357        410         90   
   11      41.04962652836571	29.026221256284906         10        448        505         90   
   12      41.06763032881699	29.008845885022897         20        652        721         90   
   13      41.08252512422859	29.02055610131978         30         30         92         90   
   14     41.09396491968674	29.028157012506508         10        567        620         90   
   15      41.09491858862192	29.02799972905536         40        384        429         90   
   16      41.05665465310689	29.034288669721278         40        475        528         90   
   17      41.0439853329135	29.07847544984874         20         99        148         90   
   18      41.022840229382716	29.020822049275058         20        179        254         90   
   19      41.021289164720024	29.044592862483224         10        278        345         90   
   20      41.00360489825688	29.055025496362934         10         10         73         90   
   21      40.95673365295175	29.39085065571143         20        914        965         90   
   22      40.92276041855027	29.351267181586586         20        812        883         90   
   23      40.922497718164124	29.355389683873184         10        732        777         90   
   24      40.89573973663695	29.378704942949614         10         65        144         90   
   25      40.86204809981522	29.297982941807657         40        169        224         90   
   
